segment_id,start_pos,end_pos,start_time,end_time,length,net_return,theta_mean,amp_z_mean,sigma_mean,viscosity_mean,sign_global
0,0,19,2016-01-20 00:00:00+00:00,2016-02-17 00:00:00+00:00,20,0.012002261321051255,-0.006821129259101097,0.7263709796259629,0.026136498051343403,1.5235733032457368,1.0
1,20,50,2016-02-18 00:00:00+00:00,2016-04-01 00:00:00+00:00,31,0.27132647511784225,0.030253454577547287,0.5699673791783118,0.024268744824952806,3.1299288607876443,1.0
2,51,68,2016-04-04 00:00:00+00:00,2016-04-27 00:00:00+00:00,18,0.031584395645726,0.005681523762338406,0.6613682378818571,0.010949568401254973,1.642962240131541,1.0
3,69,70,2016-04-28 00:00:00+00:00,2016-04-29 00:00:00+00:00,2,-0.04888392308997484,-0.025793064734951035,1.9331311005584646,0.012678636482308667,1.0973227207202467,-1.0
4,71,71,2016-05-02 00:00:00+00:00,2016-05-02 00:00:00+00:00,1,0.013141398866213294,0.013140642453988138,1.0103419955343722,0.013006871753205536,0.4129535865666913,1.0
5,72,79,2016-05-03 00:00:00+00:00,2016-05-12 00:00:00+00:00,8,-0.012016382652415059,-0.00397351699392637,0.7787337690661885,0.014092085502094873,0.9071210625780581,-1.0
6,80,80,2016-05-13 00:00:00+00:00,2016-05-13 00:00:00+00:00,1,0.14158163315254707,0.14064683249107157,4.0451509354893,0.03500032383437185,0.9118802441903748,1.0
7,81,98,2016-05-16 00:00:00+00:00,2016-06-09 00:00:00+00:00,18,0.14770932794879132,0.01648120787024921,0.32897165148468827,0.03372583446511854,0.6692944424938574,1.0
8,99,99,2016-06-10 00:00:00+00:00,2016-06-10 00:00:00+00:00,1,-0.025219863763592393,-0.025214518842968874,0.75827068104988,0.03325970106870924,0.4957388601199558,-1.0
9,100,104,2016-06-13 00:00:00+00:00,2016-06-17 00:00:00+00:00,5,0.011192073196216734,-0.0005506818799052624,0.7021136748472232,0.013042637897363873,0.6415961651202521,1.0
10,105,108,2016-06-20 00:00:00+00:00,2016-06-23 00:00:00+00:00,4,0.037185083760989196,0.019025261860443704,0.960280191417398,0.013081798681691856,0.47198507104699794,1.0
11,109,127,2016-06-24 00:00:00+00:00,2016-07-21 00:00:00+00:00,19,0.09307674704379282,0.00016052515657821248,0.8082547551285767,0.020096629690533854,1.6026280165681512,1.0
12,128,142,2016-07-22 00:00:00+00:00,2016-08-11 00:00:00+00:00,15,0.11489806578570044,0.012928002877618937,0.8500684673512507,0.014341550508282746,2.295496603232892,1.0
13,143,146,2016-08-12 00:00:00+00:00,2016-08-17 00:00:00+00:00,4,0.02399793832546876,0.027968337131432472,1.2601018119046843,0.016938814966441795,1.0347667842241974,1.0
14,147,162,2016-08-18 00:00:00+00:00,2016-09-09 00:00:00+00:00,16,-0.025176277297111305,-0.009785434900772156,0.6797478694868964,0.017011376139244423,1.00684465350932,-1.0
15,163,163,2016-09-12 00:00:00+00:00,2016-09-12 00:00:00+00:00,1,0.020454351040838037,0.020451499189654127,1.192339697520725,0.017154791675537188,0.28589165049935367,1.0
16,164,193,2016-09-13 00:00:00+00:00,2016-10-24 00:00:00+00:00,30,0.15181995935297454,0.015804320492876094,0.7051047499377314,0.017018803550137164,0.7255508342752885,1.0
17,194,206,2016-10-25 00:00:00+00:00,2016-11-10 00:00:00+00:00,13,-0.042467496824509676,0.0017592539163724097,0.8899849809014415,0.01713010988070251,0.7915638787459561,-1.0
18,207,207,2016-11-11 00:00:00+00:00,2016-11-11 00:00:00+00:00,1,0.26087609864661676,0.25518850775098645,4.218008960781254,0.061848151317869186,0.8913347977362681,1.0
19,208,236,2016-11-14 00:00:00+00:00,2016-12-23 00:00:00+00:00,29,0.2229787346168559,0.011554065760408431,0.5162849012153654,0.050265393451970196,2.335686821276669,1.0
20,237,237,2016-12-27 00:00:00+00:00,2016-12-27 00:00:00+00:00,1,0.06642703758563817,0.06632959121059212,2.4041480301446336,0.027630167822969544,1.5889536850390202,1.0
21,238,278,2016-12-28 00:00:00+00:00,2017-02-27 00:00:00+00:00,41,-0.11531866703949856,-0.01626385094803628,0.7979865741431126,0.027169405196135834,1.7501101884860488,-1.0
22,279,293,2017-02-28 00:00:00+00:00,2017-03-20 00:00:00+00:00,15,0.04714249395413239,0.001847549478044987,0.4723082626435006,0.029522965736908893,1.1870591487615079,1.0
23,294,311,2017-03-21 00:00:00+00:00,2017-04-13 00:00:00+00:00,18,-0.136446312417979,-0.026307959268930446,0.654433190747764,0.020962093179647062,1.0630472744639055,-1.0
24,312,322,2017-04-17 00:00:00+00:00,2017-05-01 00:00:00+00:00,11,0.11043735391071641,0.018209376306448616,0.6079711597045641,0.022059401148248656,0.9722654455419127,1.0
25,323,328,2017-05-02 00:00:00+00:00,2017-05-09 00:00:00+00:00,6,-0.03531291281219051,-0.01813939543113841,0.4502590355361844,0.017578242639280244,0.3775808783121373,-1.0
26,329,329,2017-05-10 00:00:00+00:00,2017-05-10 00:00:00+00:00,1,0.16403815876302041,0.16259012527684966,4.1754889202102685,0.03928596630065315,1.0101770533042522,1.0
27,330,334,2017-05-11 00:00:00+00:00,2017-05-17 00:00:00+00:00,5,0.051656394085808355,-0.0005020266828983288,0.9279164405438725,0.0401041379556479,0.6750867428530187,1.0
28,335,349,2017-05-18 00:00:00+00:00,2017-06-08 00:00:00+00:00,15,0.22601078435569244,0.03370524149946557,0.489216303784525,0.042571745916745014,1.638869729831254,1.0
29,350,362,2017-06-09 00:00:00+00:00,2017-06-27 00:00:00+00:00,13,-0.08722752607470752,-0.02276015154608932,0.6162018346091117,0.02803694435820492,0.7812772995915641,-1.0
30,363,363,2017-06-28 00:00:00+00:00,2017-06-28 00:00:00+00:00,1,0.034663267038563816,0.034649393913997364,1.206750451417313,0.02872445991658652,0.4817089909308407,1.0
